time,flight,drone_type,v_N,v_E,v_D,a_N,a_E,a_D,wind_N,wind_E,total_mass,battery_power,alt,long,lat,phi,theta,psi,angular_x,angular_y,angular_z,wind_speed,wind_angle
0.0,1,matrice_100,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,3.68,0.0,269.3324017,-79.78239570000001,40.45804724,0.0005601448310831327,0.00994087645430678,-0.5167887664893497,0.0,0.0,0.0,0.0,0.0
0.81,1,matrice_100,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,3.68,0.0,269.335937,-79.78239617,40.45804735,0.0005610107458151774,0.009949569137338164,-0.5167821222767488,0.0,0.0,0.0,0.0,0.0
1.5,1,matrice_100,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,3.68,0.0,269.33227389999996,-79.78239657,40.45804744,0.0005713617701634193,0.009933535118540096,-0.5167572042079702,0.0,0.0,0.0,0.0,0.0
2.3,1,matrice_100,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,3.68,0.0,269.3313241,-79.78239693,40.4580475,0.0005758982623311877,0.009937765247298211,-0.5167452459298522,0.0,0.0,0.0,0.0,0.0
3.0,1,matrice_100,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,3.68,0.0,269.3305754,-79.78239722,40.45804752,0.0005872055968827827,0.00993896782496495,-0.5167316761442883,0.0,0.0,0.0,0.0,0.0
3.8,1,matrice_100,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,3.68,0.0,269.336821,-79.78239742,40.45804753,0.0005867916269908034,0.00995791953299169,-0.5167350405128213,0.0,0.0,0.0,0.0,0.0
4.5,1,matrice_100,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,3.68,0.0,269.3467068,-79.7823976,40.45804752,0.0005986481687520962,0.00996194117279625,-0.516713886217302,0.0,0.0,0.0,0.0,0.0
5.3,1,matrice_100,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,3.68,0.0,269.3633289,-79.78239771,40.45804748,0.0006025338373441855,0.009968555763479306,-0.5167098008734444,0.0,0.0,0.0,0.0,0.0
6.0,1,matrice_100,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,3.68,0.0,269.3873572,-79.78239779,40.45804747,0.0006051744866038645,0.009978727630776094,-0.5167032851709495,0.0,0.0,0.0,0.0,0.0
6.8,1,matrice_100,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,3.68,0.0,269.42691510000003,-79.78239777,40.45804744,0.0006106173429636648,0.010007357987863348,-0.5167044793341182,0.0,0.0,0.0,0.0,0.0
7.5,1,matrice_100,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,3.68,0.0,269.47826289999995,-79.78239775,40.45804742,0.0006086595926985735,0.010020332240608052,-0.5167092264416163,0.0,0.0,0.0,0.0,0.0
8.3,1,matrice_100,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,3.68,0.0,269.543847,-79.78239771,40.4580474,0.000611463413563034,0.01004195533495838,-0.5167201763974181,0.0,0.0,0.0,0.0,0.0
